race_id,race_date,track,distance_f,going,race_class,field_size,horse_id,jockey_id,trainer_id,age,weight_carried,barrier,finish_position,win,place,sp_odds
2,2021-01-01,Cheltenham,12,Firm,6,12,619,5,17,6,9.0,12,3,0,1,8.8
3,2021-01-01,Sandown,6,Firm,3,11,540,39,4,5,9.1,1,1,1,1,2.91
3,2021-01-01,Sandown,6,Firm,3,11,81,50,38,6,9.9,2,7,0,0,43.62
3,2021-01-01,Sandown,6,Firm,3,11,121,60,15,2,8.1,3,6,0,0,39.14
3,2021-01-01,Sandown,6,Firm,3,11,313,1,74,6,8.0,4,2,0,1,3.31
3,2021-01-01,Sandown,6,Firm,3,11,487,42,27,4,9.6,5,4,0,0,6.25
3,2021-01-01,Sandown,6,Firm,3,11,497,45,32,3,9.1,6,9,0,0,48.86
3,2021-01-01,Sandown,6,Firm,3,11,197,21,53,2,9.4,7,11,0,0,3786.35
3,2021-01-01,Sandown,6,Firm,3,11,54,28,48,5,9.5,8,8,0,0,45.84
3,2021-01-01,Sandown,6,Firm,3,11,477,3,36,2,8.3,9,3,0,1,5.32
3,2021-01-01,Sandown,6,Firm,3,11,156,12,60,4,9.2,10,5,0,0,16.34
3,2021-01-01,Sandown,6,Firm,3,11,704,34,27,4,9.3,11,10,0,0,269.45
4,2021-01-01,Goodwood,12,Firm,3,10,263,12,73,4,8.5,1,10,0,0,2393.84
4,2021-01-01,Goodwood,12,Firm,3,10,150,13,16,3,9.2,2,1,1,1,3.47
4,2021-01-01,Goodwood,12,Firm,3,10,375,2,4,3,9.6,3,7,0,0,27.5
4,2021-01-01,Goodwood,12,Firm,3,10,51,26,17,2,9.1,4,6,0,0,11.83
4,2021-01-01,Goodwood,12,Firm,3,10,368,43,67,4,8.4,5,8,0,0,68.72
4,2021-01-01,Goodwood,12,Firm,3,10,142,15,3,2,9.3,6,5,0,0,10.82
4,2021-01-01,Goodwood,12,Firm,3,10,340,17,42,2,9.3,7,9,0,0,491.97
4,2021-01-01,Goodwood,12,Firm,3,10,564,35,57,5,8.6,8,2,0,1,3.82
4,2021-01-01,Goodwood,12,Firm,3,10,607,13,72,6,9.3,9,3,0,1,4.68
4,2021-01-01,Goodwood,12,Firm,3,10,594,58,30,5,9.6,10,4,0,0,6.41
5,2021-01-01,Newmarket,6,Good to Soft,3,9,507,16,68,4,9.6,1,9,0,0,1715.11
5,2021-01-01,Newmarket,6,Good to Soft,3,9,5,8,37,3,8.5,2,8,0,0,198.03
5,2021-01-01,Newmarket,6,Good to Soft,3,9,400,47,65,4,8.3,3,7,0,0,194.09
5,2021-01-01,Newmarket,6,Good to Soft,3,9,300,30,54,5,9.0,4,2,0,1,52.73
5,2021-01-01,Newmarket,6,Good to Soft,3,9,269,32,48,3,9.5,5,4,0,0,75.38
5,2021-01-01,Newmarket,6,Good to Soft,3,9,674,23,80,5,8.5,6,3,0,1,67.43
5,2021-01-01,Newmarket,6,Good to Soft,3,9,705,40,12,5,8.3,7,5,0,0,93.04
5,2021-01-01,Newmarket,6,Good to Soft,3,9,647,52,76,3,8.0,8,6,0,0,101.5
5,2021-01-01,Newmarket,6,Good to Soft,3,9,362,22,75,2,9.9,9,1,1,1,1.1
6,2021-01-02,Cheltenham,16,Heavy,5,14,108,8,35,6,8.8,1,12,0,0,1226.82
6,2021-01-02,Cheltenham,16,Heavy,5,14,544,4,41,2,9.0,2,10,0,0,257.19
6,2021-01-02,Cheltenham,16,Heavy,5,14,351,60,7,2,9.2,3,4,0,0,69.3
6,2021-01-02,Cheltenham,16,Heavy,5,14,155,54,16,2,8.1,4,2,0,1,2.54
6,2021-01-02,Cheltenham,16,Heavy,5,14,299,33,28,5,9.4,5,3,0,1,15.65
6,2021-01-02,Cheltenham,16,Heavy,5,14,102,38,24,3,9.7,6,13,0,0,1494.09
6,2021-01-02,Cheltenham,16,Heavy,5,14,26,42,17,5,8.3,7,8,0,0,181.21
6,2021-01-02,Cheltenham,16,Heavy,5,14,636,54,57,5,9.8,8,9,0,0,214.35
6,2021-01-02,Cheltenham,16,Heavy,5,14,349,32,55,2,9.4,9,11,0,0,1070.32
6,2021-01-02,Cheltenham,16,Heavy,5,14,435,43,44,3,9.7,10,5,0,0,79.31
6,2021-01-02,Cheltenham,16,Heavy,5,14,724,12,13,5,8.9,11,1,1,1,1.59
6,2021-01-02,Cheltenham,16,Heavy,5,14,34,51,36,3,9.7,12,6,0,0,94.41
6,2021-01-02,Cheltenham,16,Heavy,5,14,416,3,50,5,9.7,13,7,0,0,96.09
6,2021-01-02,Cheltenham,16,Heavy,5,14,627,50,51,3,8.3,14,14,0,0,2255.72
7,2021-01-02,Sandown,14,Firm,2,13,2,59,22,4,8.5,1,1,1,1,3.83
7,2021-01-02,Sandown,14,Firm,2,13,33,10,17,3,8.5,2,13,0,0,110.93
7,2021-01-02,Sandown,14,Firm,2,13,357,49,77,6,9.4,3,11,0,0,76.43
7,2021-01-02,Sandown,14,Firm,2,13,459,17,29,3,9.9,4,2,0,1,5.24
7,2021-01-02,Sandown,14,Firm,2,13,606,16,21,5,9.9,5,4,0,0,9.08
7,2021-01-02,Sandown,14,Firm,2,13,677,11,64,6,9.9,6,12,0,0,78.21
7,2021-01-02,Sandown,14,Firm,2,13,661,59,33,4,9.9,7,6,0,0,11.97
7,2021-01-02,Sandown,14,Firm,2,13,513,51,10,3,8.6,8,8,0,0,13.43
7,2021-01-02,Sandown,14,Firm,2,13,352,16,57,3,8.0,9,5,0,0,9.62
7,2021-01-02,Sandown,14,Firm,2,13,295,43,28,3,8.1,10,9,0,0,19.12
7,2021-01-02,Sandown,14,Firm,2,13,277,51,13,4,9.0,11,10,0,0,24.16
7,2021-01-02,Sandown,14,Firm,2,13,534,39,71,5,9.9,12,7,0,0,12.32
7,2021-01-02,Sandown,14,Firm,2,13,225,39,64,2,9.0,13,3,0,1,8.62
8,2021-01-02,Doncaster,8,Good to Firm,4,13,343,59,34,3,8.9,1,7,0,0,50.68
8,2021-01-02,Doncaster,8,Good to Firm,4,13,611,40,42,3,9.2,2,8,0,0,57.54
8,2021-01-02,Doncaster,8,Good to Firm,4,13,281,18,9,5,9.9,3,9,0,0,147.52
8,2021-01-02,Doncaster,8,Good to Firm,4,13,562,21,67,6,9.9,4,1,1,1,1.5
8,2021-01-02,Doncaster,8,Good to Firm,4,13,778,28,22,2,9.5,5,5,0,0,40.86
8,2021-01-02,Doncaster,8,Good to Firm,4,13,770,48,41,6,9.9,6,2,0,1,4.09
8,2021-01-02,Doncaster,8,Good to Firm,4,13,92,18,67,5,9.7,7,3,0,1,8.77
8,2021-01-02,Doncaster,8,Good to Firm,4,13,598,32,51,5,9.3,8,13,0,0,2742.19
8,2021-01-02,Doncaster,8,Good to Firm,4,13,137,34,78,4,9.6,9,6,0,0,49.52
8,2021-01-02,Doncaster,8,Good to Firm,4,13,164,38,67,2,8.7,10,4,0,0,39.23
8,2021-01-02,Doncaster,8,Good to Firm,4,13,759,52,2,6,8.7,11,12,0,0,485.77
8,2021-01-02,Doncaster,8,Good to Firm,4,13,75,5,73,4,8.8,12,10,0,0,149.54
8,2021-01-02,Doncaster,8,Good to Firm,4,13,636,32,57,5,8.1,13,11,0,0,294.45
9,2021-01-02,Goodwood,16,Heavy,5,14,121,33,15,2,8.6,1,6,0,0,52.46
9,2021-01-02,Goodwood,16,Heavy,5,14,290,45,8,3,8.8,2,12,0,0,1284.53
9,2021-01-02,Goodwood,16,Heavy,5,14,98,56,80,3,9.0,3,3,0,1,6.29
9,2021-01-02,Goodwood,16,Heavy,5,14,697,10,51,3,9.3,4,14,0,0,1952.73
9,2021-01-02,Goodwood,16,Heavy,5,14,751,20,49,3,9.0,5,13,0,0,1696.89
9,2021-01-02,Goodwood,16,Heavy,5,14,330,26,25,5,9.0,6,1,1,1,1.56
9,2021-01-02,Goodwood,16,Heavy,5,14,140,43,75,2,9.8,7,11,0,0,1046.44
9,2021-01-02,Goodwood,16,Heavy,5,14,560,22,24,6,9.9,8,10,0,0,846.99
9,2021-01-02,Goodwood,16,Heavy,5,14,241,29,56,5,8.0,9,9,0,0,419.16
9,2021-01-02,Goodwood,16,Heavy,5,14,694,25,56,5,8.2,10,7,0,0,138.54
9,2021-01-02,Goodwood,16,Heavy,5,14,108,26,35,6,9.1,11,2,0,1,3.97
9,2021-01-02,Goodwood,16,Heavy,5,14,569,46,53,6,9.5,12,5,0,0,41.71
9,2021-01-02,Goodwood,16,Heavy,5,14,224,53,44,3,9.0,13,8,0,0,205.26
9,2021-01-02,Goodwood,16,Heavy,5,14,295,43,28,3,9.8,14,4,0,0,27.21
10,2021-01-02,York,16,Firm,5,7,40,59,47,5,9.9,1,4,0,0,58.99
10,2021-01-02,York,16,Firm,5,7,439,13,50,6,10.0,2,6,0,0,161.61
10,2021-01-02,York,16,Firm,5,7,318,14,2,6,8.3,3,3,0,1,40.14
10,2021-01-02,York,16,Firm,5,7,55,17,52,2,8.0,4,1,1,1,1.42
10,2021-01-02,York,16,Firm,5,7,487,42,27,4,10.0,5,7,0,0,244.24
10,2021-01-02,York,16,Firm,5,7,203,28,4,6,8.3,6,2,0,1,2.63
10,2021-01-02,York,16,Firm,5,7,216,3,26,5,8.7,7,5,0,0,63.67
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,414,35,54,5,8.2,1,1,1,1,2.64
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,276,60,13,3,8.8,2,2,0,1,4.19
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,556,28,63,3,9.0,3,5,0,0,8.51
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,558,1,36,5,9.6,4,4,0,0,6.0
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,159,15,13,5,9.7,5,3,0,1,4.54
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,222,51,6,6,8.1,6,8,0,0,1473.66
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,579,29,7,6,8.3,7,6,0,0,55.04
11,2021-01-03,Cheltenham,20,Good to Firm,2,8,451,58,76,3,9.6,8,7,0,0,117.52
12,2021-01-03,York,12,Good to Soft,4,10,123,37,13,5,8.5,1,4,0,0,6.42
12,2021-01-03,York,12,Good to Soft,4,10,739,34,29,6,8.7,2,6,0,0,25.24
12,2021-01-03,York,12,Good to Soft,4,10,71,47,4,2,9.5,3,3,0,1,5.91
12,2021-01-03,York,12,Good to Soft,4,10,19,19,68,5,8.8,4,8,0,0,88.52
12,2021-01-03,York,12,Good to Soft,4,10,226,10,29,2,8.7,5,5,0,0,12.63
12,2021-01-03,York,12,Good to Soft,4,10,430,31,46,3,8.9,6,10,0,0,200.21
12,2021-01-03,York,12,Good to Soft,4,10,328,13,29,4,10.0,7,2,0,1,4.96
12,2021-01-03,York,12,Good to Soft,4,10,216,22,26,5,9.7,8,9,0,0,159.15
12,2021-01-03,York,12,Good to Soft,4,10,666,33,59,2,9.0,9,1,1,1,2.22
12,2021-01-03,York,12,Good to Soft,4,10,755,26,3,5,9.9,10,7,0,0,31.94
13,2021-01-03,Epsom,8,Good,6,8,341,43,59,3,9.7,1,5,0,0,22.57
13,2021-01-03,Epsom,8,Good,6,8,687,11,23,2,8.5,2,2,0,1,3.65
13,2021-01-03,Epsom,8,Good,6,8,663,8,34,4,8.9,3,8,0,0,119.59
13,2021-01-03,Epsom,8,Good,6,8,525,51,56,4,8.9,4,4,0,0,14.1
13,2021-01-03,Epsom,8,Good,6,8,311,13,47,2,8.2,5,7,0,0,66.83
13,2021-01-03,Epsom,8,Good,6,8,65,57,64,6,8.5,6,3,0,1,7.77
13,2021-01-03,Epsom,8,Good,6,8,346,29,7,5,9.5,7,1,1,1,1.69
13,2021-01-03,Epsom,8,Good,6,8,465,11,34,2,8.9,8,6,0,0,55.46
14,2021-01-03,Doncaster,7,Firm,2,8,377,45,5,2,9.7,1,8,0,0,933.56
14,2021-01-03,Doncaster,7,Firm,2,8,205,10,59,3,8.4,2,7,0,0,594.3
14,2021-01-03,Doncaster,7,Firm,2,8,401,43,49,3,8.4,3,6,0,0,557.06
14,2021-01-03,Doncaster,7,Firm,2,8,398,36,28,5,8.3,4,1,1,1,1.1
14,2021-01-03,Doncaster,7,Firm,2,8,329,5,43,4,9.3,5,5,0,0,126.04
14,2021-01-03,Doncaster,7,Firm,2,8,44,47,5,3,8.1,6,4,0,0,48.79
14,2021-01-03,Doncaster,7,Firm,2,8,289,15,9,3,8.2,7,2,0,1,6.38
14,2021-01-03,Doncaster,7,Firm,2,8,579,29,7,6,8.0,8,3,0,1,34.71
15,2021-01-04,Ascot,7,Firm,5,8,369,41,29,6,8.9,1,5,0,0,11.35
15,2021-01-04,Ascot,7,Firm,5,8,267,48,42,5,9.4,2,3,0,1,4.87
15,2021-01-04,Ascot,7,Firm,5,8,341,43,59,3,9.1,3,1,1,1,2.13
15,2021-01-04,Ascot,7,Firm,5,8,415,29,33,4,9.0,4,4,0,0,9.59
15,2021-01-04,Ascot,7,Firm,5,8,413,59,75,6,8.7,5,6,0,0,22.01
15,2021-01-04,Ascot,7,Firm,5,8,333,45,28,3,9.8,6,8,0,0,276.39
15,2021-01-04,Ascot,7,Firm,5,8,362,48,75,2,8.6,7,2,0,1,4.53
15,2021-01-04,Ascot,7,Firm,5,8,144,38,60,3,8.1,8,7,0,0,73.31
16,2021-01-04,Ascot,16,Good to Soft,3,8,454,1,19,6,8.4,1,2,0,1,7.33
16,2021-01-04,Ascot,16,Good to Soft,3,8,560,22,24,6,8.9,2,4,0,0,8.31
16,2021-01-04,Ascot,16,Good to Soft,3,8,30,48,8,6,9.8,3,3,0,1,8.13
16,2021-01-04,Ascot,16,Good to Soft,3,8,171,48,65,4,8.7,4,7,0,0,31.34
16,2021-01-04,Ascot,16,Good to Soft,3,8,539,10,78,4,9.2,5,1,1,1,1.83
16,2021-01-04,Ascot,16,Good to Soft,3,8,486,51,22,3,9.4,6,6,0,0,20.69
16,2021-01-04,Ascot,16,Good to Soft,3,8,788,31,59,2,8.1,7,8,0,0,38.59
16,2021-01-04,Ascot,16,Good to Soft,3,8,348,18,33,6,9.6,8,5,0,0,8.49
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,702,4,75,3,8.4,1,3,0,1,5.14
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,318,36,2,6,8.7,2,7,0,0,117.51
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,172,42,17,3,9.7,3,5,0,0,8.4
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,475,11,37,3,9.0,4,1,1,1,2.48
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,231,50,9,5,8.2,5,8,0,0,169.79
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,118,49,25,6,8.6,6,6,0,0,107.73
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,191,9,52,6,8.5,7,2,0,1,4.08
17,2021-01-04,Cheltenham,12,Good to Firm,1,8,787,6,59,4,9.9,8,4,0,0,6.09
18,2021-01-04,Epsom,6,Good to Firm,4,9,716,57,50,6,8.8,1,2,0,1,9.36
18,2021-01-04,Epsom,6,Good to Firm,4,9,565,15,49,5,9.0,2,5,0,0,46.2
18,2021-01-04,Epsom,6,Good to Firm,4,9,386,18,59,5,8.4,3,9,0,0,855.38
18,2021-01-04,Epsom,6,Good to Firm,4,9,117,21,36,6,8.4,4,7,0,0,97.3
18,2021-01-04,Epsom,6,Good to Firm,4,9,751,20,49,3,8.2,5,4,0,0,32.32
18,2021-01-04,Epsom,6,Good to Firm,4,9,257,26,24,4,9.1,6,1,1,1,1.1
18,2021-01-04,Epsom,6,Good to Firm,4,9,472,58,59,4,9.7,7,8,0,0,352.81
18,2021-01-04,Epsom,6,Good to Firm,4,9,399,15,75,5,9.7,8,3,0,1,20.46
18,2021-01-04,Epsom,6,Good to Firm,4,9,569,15,53,6,9.9,9,6,0,0,50.77
19,2021-01-04,York,12,Heavy,5,8,447,36,56,5,9.9,1,6,0,0,40.21
19,2021-01-04,York,12,Heavy,5,8,192,27,20,6,8.6,2,1,1,1,1.1
19,2021-01-04,York,12,Heavy,5,8,568,56,69,3,9.3,3,8,0,0,119.55
19,2021-01-04,York,12,Heavy,5,8,735,33,74,4,9.4,4,7,0,0,45.3
19,2021-01-04,York,12,Heavy,5,8,415,29,33,4,8.4,5,3,0,1,29.42
19,2021-01-04,York,12,Heavy,5,8,445,48,68,3,9.7,6,4,0,0,34.6
19,2021-01-04,York,12,Heavy,5,8,164,38,67,2,8.5,7,2,0,1,27.94
19,2021-01-04,York,12,Heavy,5,8,764,7,26,6,9.1,8,5,0,0,40.17
20,2021-01-05,Goodwood,8,Good to Soft,1,10,183,20,55,3,9.6,1,7,0,0,519.09
20,2021-01-05,Goodwood,8,Good to Soft,1,10,583,38,51,3,8.9,2,6,0,0,321.17
20,2021-01-05,Goodwood,8,Good to Soft,1,10,175,10,13,2,9.8,3,9,0,0,859.29
20,2021-01-05,Goodwood,8,Good to Soft,1,10,552,37,67,5,9.3,4,4,0,0,37.87
20,2021-01-05,Goodwood,8,Good to Soft,1,10,216,16,26,5,8.8,5,3,0,1,22.93
20,2021-01-05,Goodwood,8,Good to Soft,1,10,163,27,39,5,9.5,6,1,1,1,1.1
20,2021-01-05,Goodwood,8,Good to Soft,1,10,263,25,73,4,8.5,7,10,0,0,13132.21
20,2021-01-05,Goodwood,8,Good to Soft,1,10,704,31,27,4,9.8,8,5,0,0,147.4
20,2021-01-05,Goodwood,8,Good to Soft,1,10,486,12,22,3,9.6,9,8,0,0,540.34
20,2021-01-05,Goodwood,8,Good to Soft,1,10,604,45,22,6,8.5,10,2,0,1,9.14
21,2021-01-05,Cheltenham,14,Heavy,4,11,67,33,53,5,10.0,1,8,0,0,211.23
21,2021-01-05,Cheltenham,14,Heavy,4,11,262,30,25,2,9.3,2,9,0,0,257.51
21,2021-01-05,Cheltenham,14,Heavy,4,11,289,55,9,3,9.5,3,1,1,1,1.1
21,2021-01-05,Cheltenham,14,Heavy,4,11,405,18,60,2,8.6,4,5,0,0,40.88
21,2021-01-05,Cheltenham,14,Heavy,4,11,589,8,41,5,9.2,5,2,0,1,17.04
21,2021-01-05,Cheltenham,14,Heavy,4,11,586,5,76,6,9.3,6,3,0,1,27.99
21,2021-01-05,Cheltenham,14,Heavy,4,11,183,20,55,3,8.7,7,11,0,0,912.99
21,2021-01-05,Cheltenham,14,Heavy,4,11,569,47,53,6,8.0,8,7,0,0,90.77
21,2021-01-05,Cheltenham,14,Heavy,4,11,616,29,9,3,9.2,9,10,0,0,443.73
21,2021-01-05,Cheltenham,14,Heavy,4,11,393,6,11,5,9.0,10,4,0,0,33.88
21,2021-01-05,Cheltenham,14,Heavy,4,11,72,33,7,4,9.1,11,6,0,0,66.3
22,2021-01-05,Ascot,12,Firm,6,14,577,56,10,3,8.3,1,10,0,0,138.59
22,2021-01-05,Ascot,12,Firm,6,14,670,38,40,5,9.7,2,5,0,0,24.35
22,2021-01-05,Ascot,12,Firm,6,14,197,21,53,2,9.4,3,14,0,0,69394.65
22,2021-01-05,Ascot,12,Firm,6,14,624,1,21,4,8.4,4,7,0,0,47.52
22,2021-01-05,Ascot,12,Firm,6,14,687,53,23,2,9.0,5,4,0,0,23.43
22,2021-01-05,Ascot,12,Firm,6,14,369,41,29,6,8.0,6,1,1,1,1.36
22,2021-01-05,Ascot,12,Firm,6,14,151,31,66,6,9.3,7,13,0,0,611.04
22,2021-01-05,Ascot,12,Firm,6,14,270,42,28,3,9.7,8,6,0,0,42.62
22,2021-01-05,Ascot,12,Firm,6,14,450,58,62,3,9.0,9,11,0,0,340.08
22,2021-01-05,Ascot,12,Firm,6,14,528,45,76,5,8.7,10,8,0,0,64.76
22,2021-01-05,Ascot,12,Firm,6,14,37,47,11,6,9.9,11,9,0,0,138.48
22,2021-01-05,Ascot,12,Firm,6,14,673,28,27,3,8.2,12,12,0,0,360.97
22,2021-01-05,Ascot,12,Firm,6,14,388,48,57,2,8.0,13,2,0,1,5.59
22,2021-01-05,Ascot,12,Firm,6,14,226,22,29,2,10.0,14,3,0,1,14.47
23,2021-01-05,Doncaster,5,Good,5,13,205,32,59,3,9.6,1,13,0,0,6724.1
23,2021-01-05,Doncaster,5,Good,5,13,185,35,32,4,9.1,2,8,0,0,16.23
23,2021-01-05,Doncaster,5,Good,5,13,468,9,8,6,8.7,3,1,1,1,3.4
23,2021-01-05,Doncaster,5,Good,5,13,459,17,29,3,9.3,4,11,0,0,73.94
23,2021-01-05,Doncaster,5,Good,5,13,371,14,28,6,9.3,5,3,0,1,6.53
23,2021-01-05,Doncaster,5,Good,5,13,286,55,56,2,8.7,6,10,0,0,64.86
23,2021-01-05,Doncaster,5,Good,5,13,299,33,28,5,8.2,7,5,0,0,9.99
23,2021-01-05,Doncaster,5,Good,5,13,696,54,16,2,9.5,8,6,0,0,10.37
23,2021-01-05,Doncaster,5,Good,5,13,603,35,16,4,8.9,9,9,0,0,29.42
23,2021-01-05,Doncaster,5,Good,5,13,631,32,39,6,9.5,10,12,0,0,320.07
23,2021-01-05,Doncaster,5,Good,5,13,421,40,21,6,9.3,11,7,0,0,11.5
23,2021-01-05,Doncaster,5,Good,5,13,187,35,74,2,9.4,12,4,0,0,9.1
23,2021-01-05,Doncaster,5,Good,5,13,529,45,26,4,8.4,13,2,0,1,5.51
24,2021-01-06,Sandown,6,Good to Soft,4,9,667,6,29,3,9.8,1,7,0,0,929.52
24,2021-01-06,Sandown,6,Good to Soft,4,9,716,20,50,6,8.9,2,2,0,1,174.01
24,2021-01-06,Sandown,6,Good to Soft,4,9,153,7,17,6,9.9,3,5,0,0,486.77
24,2021-01-06,Sandown,6,Good to Soft,4,9,750,22,41,5,10.0,4,4,0,0,459.74
24,2021-01-06,Sandown,6,Good to Soft,4,9,427,52,62,3,9.0,5,9,0,0,5933.41
24,2021-01-06,Sandown,6,Good to Soft,4,9,343,8,34,3,8.4,6,6,0,0,488.82
24,2021-01-06,Sandown,6,Good to Soft,4,9,254,55,21,5,8.3,7,1,1,1,1.1
24,2021-01-06,Sandown,6,Good to Soft,4,9,79,40,19,2,8.1,8,8,0,0,1050.82
24,2021-01-06,Sandown,6,Good to Soft,4,9,247,40,29,2,9.3,9,3,0,1,338.51
25,2021-01-06,Sandown,12,Heavy,5,9,335,4,47,4,8.9,1,5,0,0,10.98
25,2021-01-06,Sandown,12,Heavy,5,9,304,47,13,5,8.1,2,2,0,1,4.85
25,2021-01-06,Sandown,12,Heavy,5,9,611,47,42,3,8.8,3,1,1,1,3.45
25,2021-01-06,Sandown,12,Heavy,5,9,371,48,28,6,8.7,4,3,0,1,4.9
25,2021-01-06,Sandown,12,Heavy,5,9,365,4,45,4,9.0,5,6,0,0,12.77
25,2021-01-06,Sandown,12,Heavy,5,9,735,50,74,4,8.9,6,7,0,0,12.96
25,2021-01-06,Sandown,12,Heavy,5,9,495,46,34,2,8.5,7,4,0,0,6.97
25,2021-01-06,Sandown,12,Heavy,5,9,197,21,53,2,9.7,8,9,0,0,104.7
25,2021-01-06,Sandown,12,Heavy,5,9,62,45,15,4,8.2,9,8,0,0,19.81
26,2021-01-06,Doncaster,16,Good,4,11,708,54,5,3,8.4,1,5,0,0,22.97
26,2021-01-06,Doncaster,16,Good,4,11,545,48,19,6,9.9,2,11,0,0,320.9
26,2021-01-06,Doncaster,16,Good,4,11,767,2,39,4,9.7,3,10,0,0,212.29
26,2021-01-06,Doncaster,16,Good,4,11,3,56,68,4,9.1,4,7,0,0,141.73
26,2021-01-06,Doncaster,16,Good,4,11,577,7,10,3,9.2,5,6,0,0,139.32
26,2021-01-06,Doncaster,16,Good,4,11,20,1,1,4,9.3,6,8,0,0,168.02
26,2021-01-06,Doncaster,16,Good,4,11,271,51,41,5,8.2,7,9,0,0,203.68
26,2021-01-06,Doncaster,16,Good,4,11,188,27,10,2,9.8,8,1,1,1,1.76
26,2021-01-06,Doncaster,16,Good,4,11,166,7,78,5,9.7,9,3,0,1,4.56
26,2021-01-06,Doncaster,16,Good,4,11,260,44,68,3,9.6,10,4,0,0,14.82
26,2021-01-06,Doncaster,16,Good,4,11,623,38,25,3,8.4,11,2,0,1,4.55
27,2021-01-06,York,14,Good to Firm,3,12,790,30,29,6,9.6,1,12,0,0,4762.48
27,2021-01-06,York,14,Good to Firm,3,12,48,36,46,3,9.0,2,3,0,1,4.43
27,2021-01-06,York,14,Good to Firm,3,12,662,5,14,3,9.8,3,8,0,0,97.7
27,2021-01-06,York,14,Good to Firm,3,12,753,29,76,6,8.3,4,4,0,0,9.28
27,2021-01-06,York,14,Good to Firm,3,12,788,38,59,2,9.1,5,9,0,0,126.62
27,2021-01-06,York,14,Good to Firm,3,12,91,6,43,4,8.4,6,2,0,1,3.21
27,2021-01-06,York,14,Good to Firm,3,12,782,47,27,4,8.7,7,7,0,0,75.34
27,2021-01-06,York,14,Good to Firm,3,12,184,20,23,4,8.6,8,6,0,0,45.6
27,2021-01-06,York,14,Good to Firm,3,12,281,42,9,5,8.4,9,5,0,0,25.22
27,2021-01-06,York,14,Good to Firm,3,12,364,41,72,6,8.6,10,1,1,1,2.48
27,2021-01-06,York,14,Good to Firm,3,12,205,53,59,3,8.6,11,11,0,0,316.86
27,2021-01-06,York,14,Good to Firm,3,12,295,43,28,3,8.7,12,10,0,0,178.17
28,2021-01-06,Ascot,10,Good,5,11,223,45,69,5,8.1,1,5,0,0,387.49
28,2021-01-06,Ascot,10,Good,5,11,703,46,5,2,9.7,2,10,0,0,3677.04
28,2021-01-06,Ascot,10,Good,5,11,627,50,51,3,9.7,3,6,0,0,440.82
28,2021-01-06,Ascot,10,Good,5,11,242,16,76,5,8.7,4,8,0,0,824.74
